text_id,en,da,nl,sv,no,el,it,de,es,fr,et,ja
onboarding_to_settings,"To receive personalised advice, enter your personal information by tapping 'Settings'.","For at appen kan tilpasse information til dine individuelle behov, bedes du indtaste dine personlige oplysninger. Tryk på 'Indstillinger' for at fortsætte.",Klik op 'Instellingen' om de app te personaliseren.,För att appen ska kunna personalisera informationen du får så behöver du fylla i din personliga information. Tryck på 'inställningar' för att fortsätta.,"For at appen skal tilpasse tilbakemeldingene du får, anbefaler vi at du legger inn den personlige informasjonen din. Trykk på 'Innstillinger' for å fortsette.","Για να σας δώσει η εφαρμονή μια πιο προσωπική αναφορά, σας συνιστούμε να εισάγετε τα προσωπικά σας δεδομένα. Επιλέξτε ""Ρυθμίσεις"" για να συνεχίσετε","Per permettere all'app di personalizzare i feedback forniti, raccomandiamo di inserire in input le tue informazioni personali. Cliccare ‘Impostazioni’ per procedere","Wenn sich die App Ihre Rückmeldungen anpassen soll, empfehlen wir, dass Sie Ihre persönliche Informationen eingeben. Drücken Sie auf dem 'Dashboard' um weiterzumachen","Para recibir consejos personalizados, recomendamos que introduzcas tu información personal. Haz click en ""Ajustes"" para continuar.","Pour que l'app puisse personnaliser le retour qui vous est donné, nous vous recommandons d'entrer vos informations personnelles. Appuyer sur 'Paramètres' pour continuer.","To receive personalised advice, enter your personal information by tapping 'Settings'.","To receive personalised advice, enter your personal information by tapping 'Settings'."
onboarding_to_dashboard,"If you choose not to do so, ClimApp will use predefined values instead. Tap 'Dashboard' to proceed.",Hvis du ikke vil indtaste dine personlige oplysninger vil appen benytte foruddefinerede værdier. Tryk på 'Instrumentbræt' for at fortsætte.,Als u niet hiervoor kiest zal ClimApp de vooraf bepaalde waardes gebruiken. Klik op 'Dashboard' op verder te gaan.,"Om du inte känner för att göra det, inga problem, appen kommer att använda förinställda värden istället. Tryck på 'Dashboard' för att fortsätta.","Hvis du ikke har lyst til å gjøre det, er det ikke noe problem, da vil appen bruke forhåndsdefinerte verdier i stedet. Trykk på 'Dashbord' for å fortsette.","Αν δεν αισθάνεστε άνετα με αυτό, κανένα πρόβλημα, η εφαρμογή θα χρησιμοποιήσει προκαθορισμένες τιμές. Επιλέξτε ""Πίνακας"" για να συνεχίσετε.","Se preferisci non fornire le tue informazioni personali, non ti preoccupare, l'app utilizzerà i valori predefiniti. Selezionare ‘Dashboard’ per continuare","Wenn das Ihnen nicht gefällt, ist es kein Problem, da die App stattdessen vorher definierten Werte verwendet. Drücken Sie auf dem 'Dashboard' um weiterzumachen.","Si prefieres no proveer tu información personal, no te preocupes, la app utilizará valores predeterminados. Haz click en ""Tablero"" para continuar.","Si vous ne voulez pas le faire, pas de problème, l'app utilisera des valeurs prédéfinies à la place. Appuyer sur 'Tableau de bord' pour continuer.","If you choose not to do so, ClimApp will use predefined values instead. Tap 'Dashboard' to proceed.","If you choose not to do so, ClimApp will use predefined values instead. Tap 'Dashboard' to proceed."
about_read_more,"Read more on the official website: <a href=""http://www.lth.se/climapp/about-climapp/"">http://www.lth.se/climapp/about-climapp/</a>.","Læs mere på den officielle hjemmeside: <a href=""http://www.lth.se/climapp/about-climapp/"">http://www.lth.se/climapp/about-climapp/</a>.","Lees meer op de officiele website <a href="" http://www.lth.se/climapp/about-climapp/""> http://www.lth.se/climapp/about-climapp/</a>.","Läs mer på vår officiella hemsida: <a href="" http://www.lth.se/climapp/about-climapp/""> http://www.lth.se/climapp/about-climapp/</a>.","Les mer på det offisielle nettstedet: <a href="" http://www.lth.se/climapp/about-climapp/""> http://www.lth.se/climapp/about-climapp/</a>.","Διαβάστε περισσότερα στην επίσημη ιστοσελίδα: <a href="" http://www.lth.se/climapp/about-climapp/""> http://www.lth.se/climapp/about-climapp/</a>.","Maggiori informazioni sul sito ufficiale: <a href="" http://www.lth.se/climapp/about-climapp/""> http://www.lth.se/climapp/about-climapp/</a>.","Erfahren Sie mehr auf dem offiziellen Homepage: <a href="" http://www.lth.se/climapp/about-climapp/""> http://www.lth.se/climapp/about-climapp/</a>.","Para mayor información, visita el sitio web oficial: <a href="" http://www.lth.se/climapp/about-climapp/""> http://www.lth.se/climapp/about-climapp/</a>","En savoir plus sur le site internet : <a href="" http://www.lth.se/climapp/about-climapp/""> http://www.lth.se/climapp/about-climapp/</a>.","Read more on the official website: <a href=""http://www.lth.se/climapp/about-climapp/"">http://www.lth.se/climapp/about-climapp/</a>.","Read more on the official website: <a href=""http://www.lth.se/climapp/about-climapp/"">http://www.lth.se/climapp/about-climapp/</a>."
about_acknowledge_liljegren,"WBGT is calculated according to Liljegren et al. (2008) : ""This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.""","WBGT is calculated according to Liljegren et al. (2008) : ""This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.""","WBGT is berekend volgens Liljegren et al. (2008) : ""This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.""","WBGT beräknas enligt Liljegren et al. (2008) : ""Denna produkt inkluderar mjukvara producerad av UChicago Argonne, LLC under kontrakt Nr. DE-AC02-06CH11357 ihop med myndigheten för energi.""","WBGT is calculated according to Liljegren et al. (2008) : ""This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.""","Ο δείκτης WBGT υπολογίζεται σύμφωνα με τους Liljegren et al. (2008) : ""This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.""","WBGT è calcolato secondo Liljegren et al. (2008) : ""This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.""","WBGT is calculated according to Liljegren et al. (2008) : ""This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.""","WBGT es calculado según Liljegren et al. (2008) : ""Este producto incluye software producido por UChicago Argonne, LLC bajo contrato No. DE-AC02-06CH11357 con el Departamento de Energía.""","La WBGT est calculée suivant Liljegren et al. (2008) : ""Ce produit inclut un module logiciel développé par UChicago Argonne LLC sous le contrat no DE-AC02-06CH11357 avec le Ministère de l'énergie (États-Unis).""
","WBGT is calculated according to Liljegren et al. (2008) : ""This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.""","WBGT is calculated according to Liljegren et al. (2008) : ""This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy."""
about_acknowledge_flaticon,"Activity level icons made by <a href=""http://www.freepik.com/"">Freepik</a> on the webpage <a href=""www.flaticon.com"">Flaticon</a>","Ikoner for aktiviteter lavet af <a href=""http://www.freepik.com/"">Freepik</a> hentet fra hjemmesiden <a href=""www.flaticon.com"">Flaticon</a>","De pictogrammen voor het Inspanningsniveau zijn gemaakt door <a href=""http://www.freepik.com/"">Freepik</a> op de website <a href=""www.flaticon.com"">Flaticon</a>","Aktivitetsikonerna är gjorda av <a href=""http://www.freepik.com/"">Freepik</a> on the webpage <a href=""www.flaticon.com"">Flaticon</a>","Ikoner for aktivitetsnivå laget av <a href=""http://www.freepik.com/""> Freepik </a> hentet fra hjemmesiden <a href=""www.flaticon.com""> Flaticon </a>","Τα εικονίδια για το επίπεδο της δραστηριότητας φτιάχτηκαν από <a href=""http://www.freepik.com/"">Freepik</a> from <a href=""www.flaticon.com"">Flaticon</a>","Le icone per i livelli di attività sono state create da <a href=""http://www.freepik.com/"">Freepik</a> e sono presenti sulla pagina web <a href=""www.flaticon.com"">Flaticon</a>","Die Ikone der Aktivitätsniveau wurden von der folgenden hergestellt: <a href=""http://www.freepik.com/""> Freepik </a> fra <a href=""www.flaticon.com""> Flaticon </a>","Íconos de nivel de actividad hechos por <a href=""http://www.freepik.com/"">Freepik</a> en el sitio web <a href=""www.flaticon.com"">Flaticon</a>","Icônes de niveau d'activité réalisées par <a href=""http://www.freepik.com/"">Freepik</a> from <a href=""www.flaticon.com"">Flaticon</a>","Activity level icons made by <a href=""http://www.freepik.com/"">Freepik</a> on the webpage <a href=""www.flaticon.com"">Flaticon</a>","Activity level icons made by <a href=""http://www.freepik.com/"">Freepik</a> on the webpage <a href=""www.flaticon.com"">Flaticon</a>"
about_acknowledge_fontawesome,"Weather and navigation bar icons from <a href=""https://fontawesome.com/"">FontAwesome</a>","Vejr- og navigationsikoner fra <a href=""https://fontawesome.com/"">FontAwesome</a>.","Weer en navigatie pictogrammen van <a href=""https://fontawesome.com/"">FontAwesome</a>","Väder och navigeringsfältikonerna från <a href=""https://fontawesome.com/"">FontAwesome</a>","Vær- og navigasjonsfeltikoner fra <a href=""https://fontawesome.com/""> FontAwesome </a>",Τα εικονίδια του καιρού και της μπάρας προήγησης από,"Icone meteo e barra di navigazione da <a href=""https://fontawesome.com/"">FontAwesome</a>","Wetter- und Navigationsikone von: <a href=""https://fontawesome.com/""> FontAwesome </a>","Íconos del clima y barra de navegación por <a href=""https://fontawesome.com/"">FontAwesome</a>","Icônes de météo et barre de navigation par <a href=""https://fontawesome.com/"">FontAwesome</a>","Weather and navigation bar icons from <a href=""https://fontawesome.com/"">FontAwesome</a>","Weather and navigation bar icons from <a href=""https://fontawesome.com/"">FontAwesome</a>"
about_acknowledge_human_heat_exchange,"Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data beregnet med <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data zijn berekend met de <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data beräknas med <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Τα δεδομένα του δείκτη «Universal Thermal Climate Index» υπολογίζονται σύμφωνα με <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","I dati dell'Indice Universale del Clima Termico (UTCI) sono calcolati con <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Daten des Universellen Thermischen Klimaindexes sind mit <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a> berechnet.","Los datos del Índice de Clima Térmico Universal se calculan con <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>","Universal Thermal Climate Index data are calculated with the <a href=""https://www.humanheat.exchange/index.php"">Human Heat Exchange API</a>"
about_acknowledge_infographics,Infographics are funded by HeatShield EU Horizon 2020 grant agreement No 668786,Infographics fra HeatShield EU Horizon 2020 grant agreement No 668786,"Infographics are 
 funded by HeatShield EU Horizon 2020 grant agreement No 668786",Infographics finansieras av HeatShield EU Horizon 2020 diarienummer 668786,"Infographics are 
 funded by HeatShield EU Horizon 2020 grant agreement No 668786",Τα γραφήματα είναι χρηματοδοτημένα από το πρόγραμμα HeatShield (EU Horizon 2020 grant agreement No 668786),Le infografiche sono finanziate da HeatShield EU Horizon 2020 accordo di sovvenzione No 668786,Infographiken sind von HeatShield EU Horizon 2020 grant agreement No 668786 finanziert.,Las infografías son financiadas por HeatShield EU Horizon 2020 acuerdo de subvención No 668786,"Infographies financées par HeatShield (projet Horizon 20200, convention de subvention no 668786)","Infographics are 
 funded by HeatShield EU Horizon 2020 grant agreement No 668786","Infographics are 
 funded by HeatShield EU Horizon 2020 grant agreement No 668786"
about_acknowledge_openweathermap,"Weather data are obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Vejrdata fra <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weer data is verkregen van <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Väderdata hämtas ifrån <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data is obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Τα μετεωρολογικά δεδομένα πάρθηκαν από <a href=""https://www.openweathermap.org"">openweathermap.org</a>","I dati meteo sono acquisiti da <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Wetterdaten sind von <a href=""https://www.openweathermap.org"">openweathermap.org</a> erhalten","Los datos meteorológicos se obtienen de <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Les données météorologiques sont obtenues à partir de <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data are obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>","Weather data are obtained from <a href=""https://www.openweathermap.org"">openweathermap.org</a>"
about_wbgt,"This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.","This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.","This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.","Denna produkt inkluderar mjukvara producerad av UChicago Argonne, LLC under kontrakt nummer DE-AC02-06CH11357 ihop med dess energimyndighet.","This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.","Αυτό το προϊόν περιλαμβάνει λογισμικό που δημιουργήθηκε από την UChicago Argonne, LLC με αριθμό σύμβασης DE-AC02-06CH11357, σε συνεργασία με το τμήμα Ενέργειας.","Questo prodotto include il software sviluppato da UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 con il Dipartimento di Energia.","This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.","Este producto incluye software producido por by UChicago Argonne, LLC bajo contrato No. DE-AC02-06CH11357 con el Departamento de Energía.",Ce produit inclut un module logiciel développé par UChicago Argonne LLC sous le contrat no DE-AC02-06CH11357 avec le Ministère de l'énergie (États-Unis),"This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy.","This product includes software produced by UChicago Argonne, LLC under Contract No. DE-AC02-06CH11357 with the Department of Energy."
